Code commune;Nom de la commune;score_securite_25
13055;Marseille;28
69123;Lyon;33
75056;Paris;35
31555;Toulouse;33
06088;Nice;35
44109;Nantes;36
34172;Montpellier;30
67482;Strasbourg;35
33063;Bordeaux;30
59350;Lille;28
35238;Rennes;36
83137;Toulon;34
51454;Reims;32
42218;Saint-Étienne;28
76351;Le Havre;34
69266;Villeurbanne;31
21231;Dijon;36
49007;Angers;39
38185;Grenoble;26
974411;Saint-Denis;
30189;Nîmes;34
13001;Aix-en-Provence;36
93066;Saint-Denis;35
63113;Clermont-Ferrand;32
72181;Le Mans;35
29019;Brest;35
37261;Tours;35
80021;Amiens;33
74010;Annecy;36
87085;Limoges;33
57463;Metz;33
66136;Perpignan;23
92012;Boulogne-Billancourt;42
25056;Besançon;36
76540;Rouen;30
45234;Orléans;39
93048;Montreuil;32
14118;Caen;35
974415;Saint-Paul;
95018;Argenteuil;34
68224;Mulhouse;31
54395;Nancy;33
59599;Tourcoing;34
59512;Roubaix;28
92050;Nanterre;37
94081;Vitry-sur-Seine;37
92004;Asnières-sur-Seine;41
94028;Créteil;39
84007;Avignon;29
92025;Colombes;41
86194;Poitiers;32
93001;Aubervilliers;33
93005;Aulnay-sous-Bois;32
59183;Dunkerque;35
974416;Saint-Pierre;
78646;Versailles;42
92026;Courbevoie;43
92063;Rueil-Malmaison;41
974422;Le Tampon;
34032;Béziers;31
64445;Pau;36
17300;La Rochelle;33
50129;Cherbourg-en-Cotentin;41
33281;Mérignac;36
94017;Champigny-sur-Marne;40
06004;Antibes;38
94068;Saint-Maur-des-Fossés;38
2A004;Ajaccio;42
972209;Fort-de-France;
44184;Saint-Nazaire;32
06029;Cannes;29
93051;Noisy-le-Grand;38
93029;Drancy;37
95127;Cergy;40
92044;Levallois-Perret;42
92040;Issy-les-Moulineaux;41
62193;Calais;32
33318;Pessac;37
68066;Colmar;36
91228;Évry-Courcouronnes;36
69259;Vénissieux;27
94041;Ivry-sur-Seine;34
26362;Valence;33
92024;Clichy;40
29232;Quimper;36
92002;Antony;39
18033;Bourges;28
83126;La Seyne-sur-Mer;36
82121;Montauban;37
59009;Villeneuve-d'Ascq;34
973302;Cayenne;
93007;Le Blanc-Mesnil;36
10387;Troyes;34
93055;Pantin;33
94076;Villejuif;39
73065;Chambéry;32
79191;Niort;33
83061;Fréjus;35
92051;Neuilly-sur-Seine;40
95585;Sarcelles;35
974409;Saint-André;
92023;Clamart;39
56121;Lorient;32
11262;Narbonne;28
93008;Bobigny;31
77284;Meaux;38
94046;Maisons-Alfort;40
83069;Hyères;33
56260;Vannes;35
60057;Beauvais;34
974414;Saint-Louis;
85191;La Roche-sur-Yon;35
77108;Chelles;39
91174;Corbeil-Essonnes;31
973311;Saint-Laurent-du-Maroni;
49099;Cholet;39
64102;Bayonne;34
94033;Fontenay-sous-Bois;36
93070;Saint-Ouen-sur-Seine;31
06027;Cagnes-sur-Mer;38
69256;Vaulx-en-Velin;35
93031;Épinay-sur-Seine;37
02691;Saint-Quentin;25
78586;Sartrouville;42
93071;Sevran;35
13004;Arles;33
91377;Massy;38
81004;Albi;35
971101;Les Abymes;
92036;Gennevilliers;38
44162;Saint-Herblain;34
06069;Grasse;39
93010;Bondy;25
85194;Les Sables-d'Olonne;38
53130;Laval;36
27229;Évreux;35
69290;Saint-Priest;34
92073;Suresnes;37
13056;Martigues;33
94080;Vincennes;43
13005;Aubagne;32
35288;Saint-Malo;33
93046;Livry-Gargan;30
41018;Blois;34
93064;Rosny-sous-Bois;35
93027;La Courneuve;32
19031;Brive-la-Gaillarde;37
2B033;Bastia;41
33522;Talence;35
92048;Meudon;37
92049;Montrouge;44
30007;Alès;33
11069;Carcassonne;27
77288;Melun;32
94022;Choisy-le-Roi;38
78551;Saint-Germain-en-Laye;40
90010;Belfort;36
08105;Charleville-Mézières;29
94002;Alfortville;41
93053;Noisy-le-Sec;29
34301;Sète;35
71076;Chalon-sur-Saône;36
92007;Bagneux;40
65440;Tarbes;33
22278;Saint-Brieuc;31
13047;Istres;35
13103;Salon-de-Provence;35
92062;Puteaux;37
69034;Caluire-et-Cuire;38
44143;Rezé;38
78361;Mantes-la-Jolie;38
59606;Valenciennes;24
64024;Anglet;39
93006;Bagnolet;31
69029;Bron;33
51108;Châlons-en-Champagne;29
36044;Châteauroux;33
62041;Arras;27
57672;Thionville;35
33550;Villenave-d'Ornon;38
81065;Castres;35
01053;Bourg-en-Bresse;30
93032;Gagny;36
06030;Le Cannet;41
16015;Angoulême;26
95268;Garges-lès-Gonesse;41
93078;Villepinte;37
93072;Stains;32
05061;Gap;38
78498;Poissy;39
31149;Colomiers;36
59650;Wattrelos;37
83050;Draguignan;38
60159;Compiègne;38
26198;Montélimar;31
62160;Boulogne-sur-Mer;23
59178;Douai;25
59378;Marcq-en-Barœul;39
93050;Neuilly-sur-Marne;38
972213;Le Lamentin;
974412;Saint-Joseph;
77373;Pontault-Combault;40
974410;Saint-Benoît;
13028;La Ciotat;33
37122;Joué-lès-Tours;38
93073;Tremblay-en-France;37
28085;Chartres;35
69149;Oullins-Pierre-Bénite;37
74281;Thonon-les-Bains;36
95252;Franconville;42
38421;Saint-Martin-d'Hères;34
74012;Annemasse;26
91589;Savigny-sur-Orge;38
38151;Échirolles;25
91477;Palaiseau;40
93063;Romainville;33
83118;Saint-Raphaël;37
83129;Six-Fours-les-Plages;40
974418;Sainte-Marie;
78172;Conflans-Sainte-Honorine;39
13117;Vitrolles;36
92020;Châtillon;44
69282;Meyzieu;34
91027;Athis-Mons;37
974408;La Possession;
973307;Matoury;
95063;Bezons;34
67180;Haguenau;40
60175;Creil;36
94078;Villeneuve-Saint-Georges;36
69264;Villefranche-sur-Saône;30
974413;Saint-Leu;
92019;Châtenay-Malabry;42
42207;Saint-Chamond;37
91549;Sainte-Geneviève-des-Bois;35
42187;Roanne;32
94058;Le Perreux-sur-Marne;39
71270;Mâcon;34
89024;Auxerre;27
67447;Schiltigheim;39
78621;Trappes;40
78440;Les Mureaux;41
78311;Houilles;41
974407;Le Port;
13054;Marignane;35
26281;Romans-sur-Isère;39
94079;Villiers-sur-Marne;36
03185;Montluçon;31
58194;Nevers;29
62498;Lens;24
94073;Thiais;37
33449;Saint-Médard-en-Jalles;41
47001;Agen;28
78423;Montigny-le-Bretonneux;42
94052;Nogent-sur-Marne;40
73008;Aix-les-Bains;33
88160;Épinal;32
06123;Saint-Laurent-du-Var;37
95500;Pontoise;40
33039;Bègles;30
78490;Plaisir;40
95306;Herblay-sur-Seine;40
38544;Vienne;34
84031;Carpentras;31
40192;Mont-de-Marsan;32
28134;Dreux;33
91657;Vigneux-sur-Seine;37
69286;Rillieux-la-Pape;30
95280;Goussainville;36
91521;Ris-Orangis;35
94038;L' Haÿ-les-Roses;40
978801;Saint-Martin;
77445;Savigny-le-Temple;41
59122;Cambrai;31
94016;Cachan;39
86066;Châtellerault;37
971103;Baie-Mahault;
91687;Viry-Châtillon;38
78158;Le Chesnay-Rocquencourt;44
06083;Menton;35
78146;Chatou;43
92046;Malakoff;38
92035;La Garenne-Colombes;44
31557;Tournefeuille;36
38053;Bourgoin-Jallieu;32
91201;Draveil;38
62510;Liévin;30
95680;Villiers-le-Bel;36
54547;Vandœuvre-lès-Nancy;36
34003;Agde;28
69275;Décines-Charpieu;36
92064;Saint-Cloud;34
93077;Villemomble;34
78297;Guyancourt;42
84087;Orange;36
94034;Fresnes;33
76575;Saint-Étienne-du-Rouvray;36
95219;Ermont;40
93014;Clichy-sous-Bois;35
06155;Vallauris;39
24322;Périgueux;32
76681;Sotteville-lès-Rouen;35
92009;Bois-Colombes;44
92060;Le Plessis-Robinson;42
94018;Charenton-le-Pont;39
59392;Maubeuge;29
93047;Montfermeil;36
92075;Vanves;40
44190;Saint-Sébastien-sur-Loire;40
44114;Orvault;37
76217;Dieppe;34
02722;Soissons;36
91691;Yerres;41
67218;Illkirch-Graffenstaden;38
94071;Sucy-en-Brie;39
971113;Le Gosier;
78517;Rambouillet;42
973309;Remire-Montjoly;
95277;Gonesse;34
31069;Blagnac;36
95607;Taverny;42
33529;La Teste-de-Buch;36
77058;Bussy-Saint-Georges;39
77083;Champs-sur-Marne;41
94044;Limeil-Brévannes;42
95176;Cormeilles-en-Parisis;40
24037;Bergerac;33
89387;Sens;33
59328;Lambersart;37
59017;Armentières;31
33192;Gradignan;36
77514;Villeparisis;39
95582;Sannois;41
91223;Étampes;37
91286;Grigny;35
33119;Cenon;34
91103;Brétigny-sur-Orge;37
34145;Lunel;37
83062;La Garde;37
78208;Élancourt;42
49328;Saumur;29
44215;Vertou;39
15014;Aurillac;37
95203;Eaubonne;41
64122;Biarritz;33
13063;Miramas;37
31395;Muret;36
34057;Castelnau-le-Lez;39
92078;Villeneuve-la-Garenne;35
91692;Les Ulis;40
93057;Les Pavillons-sous-Bois;28
49301;Sèvremoine;45
76322;Le Grand-Quevilly;39
33249;Lormont;35
62427;Hénin-Beaumont;32
91114;Brunoy;40
84035;Cavaillon;35
95572;Saint-Ouen-l'Aumône;40
974420;Sainte-Suzanne;
61001;Alençon;27
17415;Saintes;26
27681;Vernon;36
62119;Béthune;25
03310;Vichy;34
33069;Le Bouscat;37
18279;Vierzon;32
33243;Libourne;32
33162;Eysines;32
973304;Kourou;
25388;Montbéliard;32
971118;Petit-Bourg;
94054;Orly;31
02408;Laon;30
34108;Frontignan;38
94043;Le Kremlin-Bicêtre;40
44047;Couëron;44
92032;Fontenay-aux-Roses;41
91421;Montgeron;39
49023;Beaupréau-en-Mauges;46
12202;Rodez;38
971128;Sainte-Anne;
93045;Les Lilas;35
39198;Dole;38
83144;La Valette-du-Var;36
77152;Dammarie-les-Lys;39
45232;Olivet;42
14327;Hérouville-Saint-Clair;42
17299;Rochefort;30
77122;Combs-la-Ville;40
56098;Lanester;40
77390;Roissy-en-Brie;43
69244;Tassin-la-Demi-Lune;38
45284;Saint-Jean-de-Braye;40
95197;Deuil-la-Barre;38
78358;Maisons-Laffitte;42
971117;Le Moule;
78640;Vélizy-Villacoublay;37
85047;Challans;40
52448;Saint-Dizier;34
77468;Torcy;40
68297;Saint-Louis;34
04112;Manosque;35
59360;Loos;36
91272;Gif-sur-Yvette;42
13071;Les Pennes-Mirabeau;36
01283;Oyonnax;36
95424;Montigny-lès-Cormeilles;38
32013;Auch;34
80001;Abbeville;29
47323;Villeneuve-sur-Lot;36
78362;Mantes-la-Ville;41
92072;Sèvres;35
77305;Montereau-Fault-Yonne;32
78005;Achères;42
76498;Le Petit-Quevilly;35
94003;Arcueil;37
51230;Épernay;35
33199;Gujan-Mestras;45
40088;Dax;28
12145;Millau;38
38169;Fontaine;32
49092;Chemillé-en-Anjou;46
91345;Longjumeau;38
93049;Neuilly-Plaisance;37
59295;Hazebrouck;38
60463;Nogent-sur-Oise;41
38563;Voiron;34
45147;Fleury-les-Aubrais;38
59368;La Madeleine;37
91570;Saint-Michel-sur-Orge;37
95428;Montmorency;40
57480;Montigny-lès-Metz;40
69202;Sainte-Foy-lès-Lyon;37
91434;Morsang-sur-Orge;36
06079;Mandelieu-la-Napoule;37
13041;Gardanne;35
972222;Le Robert;
77243;Lagny-sur-Marne;38
13002;Allauch;40
62178;Bruay-la-Buissière;32
69091;Givors;30
95555;Saint-Gratien;39
78545;Saint-Cyr-l'École;40
77350;Ozoir-la-Ferrière;42
69204;Saint-Genis-Laval;35
85146;Montaigu-Vendée;45
94059;Le Plessis-Trévise;45
59410;Mons-en-Barœul;36
31424;Plaisance-du-Touch;41
94067;Saint-Mandé;40
92014;Bourg-la-Reine;41
94077;Villeneuve-le-Roi;39
44026;Carquefou;40
92071;Sceaux;40
29039;Concarneau;35
52121;Chaumont;34
67267;Lingolsheim;42
78123;Carrières-sous-Poissy;44
59155;Coudekerque-Branche;41
59646;Wasquehal;39
59279;Halluin;36
44035;La Chapelle-sur-Erdre;41
59172;Denain;22
31157;Cugnaux;37
78383;Maurepas;42
92022;Chaville;41
59163;Croix;36
44020;Bouguenais;37
94042;Joinville-le-Pont;41
71153;Le Creusot;37
57227;Forbach;33
78126;La Celle-Saint-Cloud;36
77294;Mitry-Mory;34
91161;Chilly-Mazarin;37
21054;Beaune;32
22113;Lannion;38
35115;Fougères;35
84054;L' Isle-sur-la-Sorgue;39
59271;Grande-Synthe;38
76451;Mont-Saint-Aignan;38
57631;Sarreguemines;38
46042;Cahors;31
33075;Bruges;39
